medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Oracilline 250 000 UI/5 ml, suspension buvable – [benzathine phénoxyméthylpénicilline]",Rupture de stock,Infectiologie,,2026-06-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/oracilline-250-000-ui-5-ml-suspension-buvable-benzathine-phenoxymethylpenicilline,benzathine phénoxyméthylpénicilline,Oracilline 250 000 UI/5 ml
"Méthylprednisolone Hikma 500 mg, poudre pour solution injectable – [méthylprednisolone (hydrogénosuccinate sodique de)]",Tension d'approvisionnement,"Allergologie, Infectiologie, Neurologie",2026-07-08,2025-06-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylprednisolone-hikma-500-mg-poudre-pour-solution-injectable-methylprednisolone-hydrogenosuccinate-sodique-de,méthylprednisolone (hydrogénosuccinate sodique de),Méthylprednisolone Hikma 500 mg
"Rifater, comprimé enrobé – [isoniazide, pyrazinamid, rifampicine]",Remise à disposition,Infectiologie,2026-07-07,2026-06-30,2026-06-30,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifater-comprime-enrobe-isoniazide-pyrazinamid-rifampicine,"isoniazide, pyrazinamid, rifampicine",Rifater
"Miochole 20 mg, poudre et solvant pour solution intraoculaire – [chlorure d'acétylcholine]",Tension d'approvisionnement,Ophtalmologie,2026-07-07,2025-05-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/miochole-20-mg-poudre-et-solvant-pour-solution-intraoculaire-chlorure-dacetylcholine,chlorure d'acétylcholine,Miochole 20 mg
"Micropakine L.P. 250 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",Remise à disposition,Neurologie,2026-07-07,2026-07-07,2026-07-07,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/micropakine-l-p-250-mg-granules-a-liberation-prolongee-en-sachet-dose-acide-valproique-sodium-valproate-de,"acide valproïque, sodium (valproate de)",Micropakine L.P. 250 mg
"Alepsal, comprimé – [caféine / phénobarbital]",Tension d'approvisionnement,Neurologie,2026-07-07,2026-01-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/alepsal-comprime-cafeine-phenobarbital,caféine / phénobarbital,Alepsal
"Verkazia 1 mg/mL, collyre en émulsion – [ciclosporine]",Tension d'approvisionnement,Ophtalmologie,2026-07-07,2026-05-07,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/verkazia-1-mg-ml-collyre-en-emulsion-ciclosporine,ciclosporine,Verkazia 1 mg/mL
Ambrisentan-Volibris tous dosages – [ambrisentan],Tension d'approvisionnement,Cardiologie,2026-07-07,2026-05-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-volibris-tous-dosages-ambrisentan,ambrisentan,Ambrisentan
"Micropakine L.P. 500 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",Tension d'approvisionnement,Neurologie,2026-07-07,2025-05-16,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/micropakine-l-p-500-mg-granules-a-liberation-prolongee-en-sachet-dose-acide-valproique-sodium-valproate-de,"acide valproïque, sodium (valproate de)",Micropakine L.P. 500 mg
"Micropakine L.P. 1000 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",Remise à disposition,Neurologie,2026-07-07,2026-05-01,2026-05-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/micropakine-l-p-1000-mg-granules-a-liberation-prolongee-en-sachet-dose-acide-valproique-sodium-valproate-de,"acide valproïque, sodium (valproate de)",Micropakine L.P. 1000 mg
"Fluorouracile Pfizer 50 mg/ml, solution à diluer pour perfusion - flacon de 100 ml – [fluorouracile]",Rupture de stock,Oncologie/Radiothérapie,,2023-11-08,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluorouracile-pfizer-50-mg-ml-solution-a-diluer-pour-perfusion-flacon-de-100-ml-fluorouracile,fluorouracile,Fluorouracile Pfizer 50 mg/ml
"Fluorouracile Pfizer 50 mg/ml, solution à diluer pour perfusion - flacon de 20 ml – [fluorouracile]",Remise à disposition,Oncologie/Radiothérapie,2026-07-06,2026-02-26,2026-02-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluorouracile-pfizer-50-mg-ml-solution-a-diluer-pour-perfusion-flacon-de-20-ml-et-100-ml-fluorouracile,fluorouracile,Fluorouracile Pfizer 50 mg/ml
"Megace 160 mg, comprimé – [mégestrol (acétate de)]",Remise à disposition,Oncologie/Radiothérapie,2026-07-06,2026-07-03,2026-07-03,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/megace-160-mg-comprime-megestrol-acetate-de,mégestrol (acétate de),Megace 160 mg
"Xarelto 1 mg/mL, granulés pour supension buvable, flacon de 100ml – [rivaroxaban]",Remise à disposition,Cardiologie,2026-07-06,2026-07-03,2026-07-03,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/xarelto-1-mg-ml-granules-pour-supension-buvable-flacon-de-100ml-rivaroxaban,rivaroxaban,Xarelto 1 mg/mL
"Gluconate Glucoheptonate de Calcium AP-HP, solution à diluer pour perfusion – [gluconate glucoheptonate de calcium]",Remise à disposition,Hépato-gastroentérologie,2026-07-06,2026-07-06,2026-07-06,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gluconate-glucoheptonate-de-calcium-ap-hp-solution-a-diluer-pour-perfusion-gluconate-glucoheptonate-de-calcium,gluconate glucoheptonate de calcium,Gluconate Glucoheptonate de Calcium AP
"Vinorelbine Arrow 10 mg/mL, solution à diluer pour perfusion – [vinorelbine (tartrate de)]",Rupture de stock,Oncologie/Radiothérapie,2026-07-06,2026-06-10,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/vinorelbine-arrow-10-mg-ml-solution-a-diluer-pour-perfusion-vinorelbine-tartrate-de,vinorelbine (tartrate de),Vinorelbine Arrow 10 mg/mL
"Métoprolol Sandoz 50 mg, comprimé – [métoprolol (tartrate de)]",Tension d'approvisionnement,Cardiologie,,2026-06-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/metoprolol-sandoz-50-mg-comprime-metoprolol-tartrate-de,métoprolol (tartrate de),Métoprolol Sandoz 50 mg
"Lamaline, suppositoire – [caféine, opium (extrait sec d'), paracétamol]",Remise à disposition,Traitement de la douleur,2026-07-03,2026-07-02,2026-07-02,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lamaline-suppositoire-cafeine-opium-extrait-sec-d-paracetamol,"caféine, opium (extrait sec d'), paracétamol",Lamaline
"Eskazole 400 mg, comprimé – [albendazole]",Tension d'approvisionnement,Infectiologie,2026-07-03,2025-10-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/eskazole-400-mg-comprime-albendazole,albendazole,Eskazole 400 mg
"Néosynéphrine 2,5 % Faure, collyre en solution en récipient unidose – [phényléphrine]",Tension d'approvisionnement,Ophtalmologie,,2026-05-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/neosynephrine-2-5-faure-collyre-en-solution-en-recipient-unidose-phenylephrine,phényléphrine,Néosynéphrine 2
Coli-genta AP-HP 135 mg – 100 mg gélule adulte – [colistine ; gentamicine],Rupture de stock,Infectiologie,2026-07-02,2026-02-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/coli-genta-ap-hp-135-mg-100-mg-gelule-adulte-colistine-gentamicine,colistine ; gentamicine,Coli
"Gardénal 50 mg, comprimé – [phénobarbital]",Tension d'approvisionnement,Neurologie,2026-07-02,2026-04-14,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gardenal-50-mg-comprime-phenobarbital,phénobarbital,Gardénal 50 mg
